kma,description
TX_FTW,Ft Worth Market
SC_GRE,Greenville Market
IL_BLO,Bloomington Market
TX_DAL,Dallas Market
MN_DUL,Duluth Market
AR_LIT,Little Rock Market
LA_SHR,Shreveport Market
OH_COL,Columbus Market
IA_DUB,Dubuque Market
SD_SXF,Sioux Falls Market
IA_CED,Cedar Rapids Market
TX_ELP,El Paso Market
KS_HUT,Hutchinson Market
NY_BUF,Buffalo Market
NY_ROC,Rochester Market
MI_SAG,Saginaw Market
CA_LAX,Los Angeles Market
PA_PIT,Pittsburgh Market
VA_NOR,Norfolk Market
TN_NAS,Nashville Market
MO_JOP,Joplin Market
AL_DEC,Decatur Market
WA_SEA,Seattle Market
NH_BRI,Bristol Market
TX_HOU,Houston Market
IN_EVA,Evansville Market
KY_LEX,Lexington Market
UT_SLC,Salt Lake City Market
TX_MCA,McAllen Market
IA_DES,Des Moines Market
AL_MON,Montgomery Market
PA_PHI,Philadelphia Market
CA_ONT,Ontario Market
TN_MEM,Memphis Market
MO_GIR,Cape Girardeau Market
OK_OKC,Oklahoma City Market
GA_ATL,Atlanta Market
CO_DEN,Denver Market
NE_OMA,Omaha Market
SC_COL,Columbia Market
IN_GRY,Gary Market
MA_BOS,Boston Market
WI_MAD,Madison Market
IN_SBD,S Bend Market
TN_KNO,Knoxville Market
NY_SYR,Syracuse Market
AR_FAY,Fayetteville Market
ID_TWI,Twin Falls Market
MI_DET,Detroit Market
VA_ROA,Roanoke Market
WY_GRE,Green River Market
WI_EAU,Eau Claire Market
OR_MED,Medford Market
AL_MOB,Mobile Market
MN_MIN,Minneapolis Market
KY_BOW,Bowling Green Market
IN_FTW,Ft Wayne Market
TX_AMA,Amarillo Market
WV_CHA,Charleston Market
MO_JEF,Jefferson City Market
OH_TOL,Toledo Market
MD_BAL,Baltimore Market
CA_STK,Stockton Market
TX_AUS,Austin Market
MT_BIL,Billings Market
FL_LAK,Lakeland Market
WI_MIL,Milwaukee Market
WV_HUN,Huntington Market
IL_QUI,Quincy Market
MO_STL,St Louis Market
FL_TAL,Tallahassee Market
IL_ROC,Rock Island Market
NJ_ELI,Elizabeth Market
VA_RCH,Richmond Market
NC_RAL,Raleigh Market
AZ_PHO,Phoenix Market
IL_RFD,Rockford Market
NC_WIL,Wilmington Market
CA_SFR,San Francisco Market
PA_HAR,Harrisburg Market
GA_MAC,Macon Market
AZ_FLA,Flagstaff Market
SD_RAP,Rapid City Market
VA_ALE,Alexandria Market
NV_VEG,Las Vegas Market
OR_PEN,Pendleton Market
MO_KAN,Kansas City Market
KY_LOU,Louisville Market
PA_ERI,Erie Market
TX_LUB,Lubbock Market
GA_TIF,Tifton Market
TN_CHA,Chattanooga Market
NY_ALB,Albany Market
CO_GRA,Grand Jct Market
OR_POR,Portland Market
AZ_TUC,Tucson Market
VA_WIN,Winchester Market
WI_GRE,Green Bay Market
NY_BRN,Brooklyn Market
CT_HAR,Hartford Market
SC_CHA,N Charleston Market
NV_REN,Reno Market
LA_NEW,New Orleans Market
ME_AUG,Augusta Market
WA_SPO,Spokane Market
MA_SPR,Springfield Market
OH_CLE,Cleveland Market
AL_BIR,Birmingham Market
NC_CHA,Charlotte Market
IN_TER,Terre Haute Market
OH_CIN,Cincinnati Market
IL_JOL,Joliet Market
PA_ALL,Allentown Market
TX_LAR,Laredo Market
MT_MIS,Missoula Market
IL_TAY,Taylorville Market
ND_BIS,Bismarck Market
CA_FRS,Fresno Market
TX_ANT,San Antonio Market
NY_ELM,Elmira Market
FL_JAX,Jacksonville Market
NE_NPL,N Platte Market
MI_RAP,Grand Rapids Market
MN_STC,St Cloud Market
TX_TEX,Texarkana Market
NM_ALB,Albuquerque Market
IL_CHI,Chicago Market
MS_JAC,Jackson Market
GA_SAV,Savannah Market
NC_GRE,Greensboro Market
FL_MIA,Miami Market
OK_TUL,Tulsa Market
ND_FAR,Fargo Market
IN_IND,Indianapolis Market
CA_SDI,San Diego Market
